TITLE     = ""
VARIABLES = "V1"
"V2"
"T/T<sub>Jet Centerline"
ZONE T="ZONE 002"
 STRANDID=0, SOLUTIONTIME=0
 I=73, J=23, K=1, ZONETYPE=Ordered
 DATAPACKING=BLOCK
 DT=(SINGLE SINGLE SINGLE )
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.407026052E+000
 3.407026052E+000 3.407026052E+000 3.407026052E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000 3.617336035E+000
 3.617336035E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000
 3.827646971E+000 3.827646971E+000 3.827646971E+000 3.827646971E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000 4.037957191E+000
 4.037957191E+000 4.037957191E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000 4.248267174E+000
